ID;Vertex1;Vertex2;Vertex3;Edge1;Edge2;Edge3
0;0;3;5;0;1;2
1;1;3;5;3;1;4
2;1;2;5;5;6;4
3;0;2;5;7;6;2
4;0;2;4;7;10;8
5;1;2;4;5;10;9
6;1;3;4;3;11;9
7;0;3;4;0;11;8
