Id;Origin;End
0;0;3 	
1;3;9	
2;9;0	
3;0;8	
4;8;3	
5;0;4					
6;4;8	
7;0;7	
8;7;4	
9;9;7	
10;3;6	
11;6;9	
12;3;5	
13;5;6	
14;8;5	
15;8;11	
16;11;5	
17;4;11	
18;9;10	
19;10;7	
20;6;10	
21;6;2	
22;2;10	
23;5;2	
24;11;2	
25;7;1	
26;1;4	
27;10;1	
28;2;1	
29;11;1			
