Id;X;Y;Z
0;0;1;1.618033988749
1;0;1;-1.618033988749
2;0;-1;-1.618033988749
3;0;-1;1.618033988749
4;1;1.618033988749;0
5;1;-1.618033988749;0
6;-1;-1.618033988749;0
7;-1;1.618033988749;0
8;1.618033988749;0;1
9;-1.618033988749;0;1
10;-1.618033988749;0;-1
11;1.618033988749;0;-1
